🕘️更新时间,#genre#
2025-05-29 19:10:27,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,http://api.mytv666.top/api/migu.php?id=CCTV1综合&type=1&auth_key=e1c597f5c7ae5f21a8ddbee3ed90d5e368dc387edc9c12585b165b790a80c9f8&t=1746336814&session=a3e878a5b91f84bc023b4a479f51dd43
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_OLaWb.php?id=山东卫视
CCTV-1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$订阅源
CCTV-1,http://vip.lqcc.xyz:35455/bptv/10000100000000050000000003864351.m3u8
CCTV-1,http://113.65.7.94:8888/udp/239.77.1.144:5146
CCTV-1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002
CCTV-1,http://114.254.35.230:18888/rtp/239.3.1.129:8008
CCTV-1,http://39.137.75.234/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=no
CCTV-2,http://api.mytv666.top/api/migu.php?id=CCTV2财经&type=1&auth_key=e1c597f5c7ae5f21a8ddbee3ed90d5e368dc387edc9c12585b165b790a80c9f8&t=1746336814&session=a3e878a5b91f84bc023b4a479f51dd43
CCTV-2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8$订阅源
CCTV-2,http://vip.lqcc.xyz:35455/bptv/10000100000000050000000003870745.m3u8
CCTV-2,http://nas.hssvm.com:8888/udp/225.1.1.133:5002
CCTV-2,http://222.212.84.190:54123/udp/239.93.1.23:6000
CCTV-2,http://hongzhijiaoyu.net:8188/udp/239.253.43.17:5146
CCTV-2,http://www.745612.xyz:7788/rtp/235.254.198.52:1484
CCTV-2,http://106.52.196.79:80/TV/mui.php?id=cctv2
CCTV-2,http://tvbox6.icu/tv/migu.php?id=cctv2
CCTV-2,http://ms.fxim.net:808/hls/2/index.m3u8
CCTV-3,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3$订阅源
CCTV-3,http://api.mytv666.top/api/migu.php?id=CCTV3综艺&type=1&auth_key=e1c597f5c7ae5f21a8ddbee3ed90d5e368dc387edc9c12585b165b790a80c9f8&t=1746336814&session=a3e878a5b91f84bc023b4a479f51dd43
CCTV-3,http://vip.lqcc.xyz:35455/bptv/10000100000000050000000003870746.m3u8
CCTV-3,http://nas.hssvm.com:8888/udp/225.1.1.158:5002
CCTV-3,http://hongzhijiaoyu.net:8188/udp/239.77.0.169:5146
CCTV-3,http://106.52.196.79:80/TV/mui.php?id=cctv3
CCTV-3,http://tvbox6.icu/tv/migu.php?id=cctv3
CCTV-3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8
